"","Country","Code","Year","OtherMeat_kg_capita","SheepGoat_kg_capita","Beef_kg_capita","Pig_kg_capita","Poultry_kg_capita"
"1","Australia","AUS",2000,3.050038,17.716393,39.45924,18.984726,32.58407
"2","Australia","AUS",2001,3.4716568,14.973407,42.585655,17.801046,31.81849
"3","Australia","AUS",2002,4.0043006,14.548288,39.046963,19.910831,33.88564
"4","Australia","AUS",2003,3.5839884,13.520496,45.816658,20.909956,34.843216
"5","Australia","AUS",2004,3.257604,13.020329,37.265778,20.433144,34.6839
"6","Australia","AUS",2005,3.3671665,13.003532,42.86312,22.02309,37.33207
"7","Australia","AUS",2006,3.6380224,13.761657,35.964745,21.86867,38.06243
"8","Australia","AUS",2007,2.9099185,14.458342,43.800865,23.046148,39.583004
"9","Australia","AUS",2008,2.5928712,12.589605,38.295494,22.586338,37.758686
"10","Australia","AUS",2009,2.539266,11.563272,38.95902,21.83162,38.695988
"11","Australia","AUS",2010,2.1381135,10.203277,38.595436,22.246325,46.461704
"12","Australia","AUS",2011,2.3073318,9.169656,41.890007,23.491026,47.07156
"13","Australia","AUS",2012,2.2279065,9.936065,36.849968,24.43735,47.34301
"14","Australia","AUS",2013,2.2976239,9.916585,35.777287,24.120077,47.6931
"15","Australia","AUS",2014,1.1339115,11.15013,34.99211,24.42883,47.494976
"16","Australia","AUS",2015,1.0941317,11.746997,33.012936,25.980656,47.942863
"17","Australia","AUS",2016,1.0044265,11.884055,34.120667,25.488564,50.16165
"18","Australia","AUS",2017,0.9445947,10.052476,28.099207,25.32508,50.33198
"19","Australia","AUS",2018,0.8850231,10.749551,27.962753,25.66567,48.228786
"20","Australia","AUS",2019,0.895566,9.36364,25.832104,28.230232,48.669037
"21","Australia","AUS",2020,0.75782317,10.071072,36.664684,24.030972,48.2514
"22","Australia","AUS",2021,0.9686799,8.748078,24.776234,25.605104,48.24425
"23","Australia","AUS",2022,0.93915415,9.711254,25.966612,26.576065,49.045826
"24","Brazil","BRA",2000,0.040111877,0.6317621,34.96753,13.888739,29.672762
"25","Brazil","BRA",2001,0.030113464,0.59223145,34.409653,13.029092,28.607792
"26","Brazil","BRA",2002,0.030149663,0.5728436,35.114307,12.431711,30.933556
"27","Brazil","BRA",2003,0.030187735,0.5534418,33.548637,13.413417,32.62288
"28","Brazil","BRA",2004,0.020146145,0.59431124,33.674282,13.115141,34.399544
"29","Brazil","BRA",2005,0.020157443,0.59464455,36.43458,10.300454,27.756802
"30","Brazil","BRA",2006,0.040317357,0.6047604,36.900463,11.14775,29.824766
"31","Brazil","BRA",2007,0.050383102,0.6045972,37.47495,11.104436,31.922733
"32","Brazil","BRA",2008,0.07051432,0.6144819,37.684864,11.614716,36.838696
"33","Brazil","BRA",2009,0.07051423,0.6044077,38.107906,11.765803,35.29741
"34","Brazil","BRA",2010,0.20273776,0.6082133,38.976337,12.427825,38.05388
"35","Brazil","BRA",2011,0.16237648,0.6089118,39.39659,12.675513,40.95947
"36","Brazil","BRA",2012,0.26409602,0.61960995,39.675354,11.853849,41.229454
"37","Brazil","BRA",2013,0.27441227,0.6199685,39.627167,11.901361,43.275833
"38","Brazil","BRA",2014,0.23387906,0.62028795,39.383198,12.141374,45.27085
"39","Brazil","BRA",2015,0.23400602,0.6104505,38.43803,13.043291,46.96399
"40","Brazil","BRA",2016,0.2035838,0.61075145,37.500137,13.232947,46.64105
"41","Brazil","BRA",2017,0.41761404,0.6111425,37.61582,13.862749,48.37193
"42","Brazil","BRA",2018,0.67299885,0.6118172,38.07542,14.65302,48.568085
"43","Brazil","BRA",2019,0.5410555,0.65335006,37.833054,14.598291,47.97019
"44","Brazil","BRA",2020,0.50065064,0.68456316,35.51554,14.447348,49.421368
"45","Brazil","BRA",2021,0.32729322,0.6852702,35.419266,15.382781,48.32689
"46","Brazil","BRA",2022,0.3685711,0.65523744,35.413536,16.544746,48.170193
"47","China","CHN",2000,0.6152121,2.0977724,3.8929813,28.15856,9.621513
"48","China","CHN",2001,0.7150887,2.115051,3.9279523,28.009321,9.306225
"49","China","CHN",2002,0.815322,2.1943235,4.016216,28.53627,9.330908
"50","China","CHN",2003,0.86550915,2.3650541,4.156457,29.839937,9.701755
"51","China","CHN",2004,0.92587405,2.526026,4.246944,29.819181,9.5204
"52","China","CHN",2005,0.9760345,2.6463618,4.246253,30.719933,10.162834
"53","China","CHN",2006,1.026262,2.7266376,4.2660303,31.824186,10.423603
"54","China","CHN",2007,1.0768845,2.8683372,4.518889,32.13544,11.171419
"55","China","CHN",2008,1.0670824,2.838842,4.4998665,33.824497,11.838575
"56","China","CHN",2009,1.1172141,2.8987176,4.680221,34.90539,12.148445
"57","China","CHN",2010,1.1670825,2.7032425,4.658355,37.566093,12.14963
"58","China","CHN",2011,1.1872398,2.8234355,4.489562,36.036217,12.480983
"59","China","CHN",2012,1.1175793,2.993516,4.5202093,36.471,12.7523775
"60","China","CHN",2013,1.147575,3.1633158,4.690089,37.01179,13.002524
"61","China","CHN",2014,1.1576912,3.2435317,4.6906457,38.962303,12.335401
